"TripID","DteStart","DteEnd","BatteryAtStart","BatteryAtEnd","DwUpdated","TripApprovedKilometer","DiffInBat","DiffInDte","vehicleId"
2475646,128,81,53,36,"2024-01-28T18:18:18.000Z",32.9,17,47,"KA03AL3797"
2476515,152,150,81,67,"2024-01-28T18:18:18.000Z",29.8999996185302,14,2,"KA03AL2127"
2477080,148,79,59,43,"2024-01-28T18:18:18.000Z",29.8999996185302,16,69,"KA03AL3800"
2477475,147,69,64,33,"2024-01-28T18:18:18.000Z",32.7,31,78,"KA03AL3782"
2478661,193,134,76,58,"2024-01-28T18:18:18.000Z",30.3999996185302,18,59,"KA03AL3782"
2479935,124,116,66,60,"2024-01-28T18:18:18.000Z",7.09999990463256,6,8,"KA03AL2098"
2481528,189,157,89,77,"2024-01-28T18:18:18.000Z",32.099998474121,12,32,"KA03AL2098"
2480819,143,101,72,58,"2024-01-28T18:18:18.000Z",30.7999992370605,14,42,"KA03AL3797"
2481203,130,107,65,49,"2024-01-28T18:18:18.000Z",42.7999992370605,16,23,"KA05AM1248"
2482093,133,106,67,52,"2024-01-28T18:18:18.000Z",31.5,15,27,"KA03AL3797"
2482837,193,167,92,86,"2024-01-28T18:18:18.000Z",19.6000003814697,6,26,"KA05AM1248"
2482449,129,90,66,49,"2024-01-28T18:18:18.000Z",28.6,17,39,"KA05AM1248"
2484512,183,159,85,73,"2024-01-28T18:18:18.000Z",26.1,12,24,"KA05AM1248"
2483615,160,113,69,54,"2024-01-28T18:18:18.000Z",29.5,15,47,"KA03AL2127"
2483941,118,69,58,31,"2024-01-28T18:18:18.000Z",33.7,27,49,"KA03AL3781"
2485753,166,110,76,54,"2024-01-28T18:18:18.000Z",35.9,22,56,"KA03AL2098"
2485327,160,113,67,52,"2024-01-28T18:18:18.000Z",29.5,15,47,"KA03AL2098"
2486895,169,126,67,54,"2024-01-28T18:18:18.000Z",24.2999992370605,13,43,"KA03AL3783"
2487577,261,252,96,86,"2024-01-28T18:18:18.000Z",28.3,10,9,"KA05AM1248"
2487297,143,96,65,39,"2024-01-28T18:18:18.000Z",53.7,26,47,"KA03AL2098"
